CleanedTweets,Tweets,Time,TimeNew,TimeChanged,PolarityScore
state aid support new industrial policy become remain ubiquitous covid trumpvsbiden,"\"State aid to support this new industrial policy has become and will remain ubiquitous. #Covid_19 #TrumpvsBiden\\u2026 https://t.co/m9MijmSuag\"","\"2020-11-19 14:32:29.827745\"",2020-11-19T15:42:23.248+05:30,"",Positive
voted want follow cliff trump trumpvsbiden evangelicalsfortrump,"\"They voted for him but don't want to follow him over a cliff. #Trump2020 #TrumpvsBiden #EvangelicalsForTrump\\u2026 https://t.co/IGzyHf7U45\"","\"2020-11-19 14:32:32.831886\"",2020-11-19T15:42:23.248+05:30,"",Positive
streaming politics something happen trumpvsbiden,"\"Streaming Politics @ https://t.co/k65CDzf3GH \\\"Something is Happen!!!!\\\" What is what?? #TrumpvsBiden\\u2026 https://t.co/k6c8YlLWKU\"","\"2020-11-19 14:32:35.834856\"",2020-11-19T15:42:23.248+05:30,"",Positive
trump illegally lawsuits state recount election france stop trump filing laws,"\"Trump is illegally lawsuits to the State to do recount of the election and France we have to stop trump filing laws\\u2026 https://t.co/4j71NBkhvA\"","\"2020-11-19 14:32:38.838593\"",2020-11-19T15:42:23.248+05:30,"",Negative
prophecy going happen president trump shocking trumpprophecy trumpvsbiden trump,"\"PROPHECY OF WHAT IS GOING TO HAPPEN TO PRESIDENT TRUMP (SHOCKING!!!)\\nhttps://t.co/9qJOjKudNS #trumpprophecy #TrumpvsBiden #Trump2020\"","\"2020-11-19 14:32:41.842217\"",2020-11-19T15:42:23.248+05:30,"",Negative
approaches million votes historic victory stay president,"\"\\u2066@JoeBiden\\u2069 approaches 80 million votes in historic victory -\\u2066@realDonaldTrump\\u2069 can now stay the president at\\u2026 https://t.co/nwEVgmQdFX\"","\"2020-11-19 14:32:44.845956\"",2020-11-19T15:42:23.248+05:30,"",Positive
keep talking george trumpvsbiden,"\"Keep talking to yourself, George.  #TrumpvsBiden https://t.co/ZiwrKKlKhs\"","\"2020-11-19 14:32:47.846584\"",2020-11-19T15:42:23.248+05:30,"",Positive
suburban house wives please love trumpcollapse trumpmeltdown trumpvsbiden trumpcampaign trumplandside,"\"Suburban House Wives Please love me\\n\\n#TrumpCollapse #TrumpMeltdown #TrumpvsBiden #TrumpCampaign #TrumpLandside\\u2026 https://t.co/9XbzJd14VF\"","\"2020-11-19 14:32:50.849989\"",2020-11-19T15:42:23.248+05:30,"",Positive
damilola still staying tune oyo state trumpvsbiden,"\"@SOUNDCITYAbuja Damilola still staying tune from Oyo state\\n#TrumpvsBiden\"","\"2020-11-19 14:32:53.853615\"",2020-11-19T15:42:23.248+05:30,"",Positive
percent americans plan attend thanksgiving gathering people one study finds,"\"About 40 percent of Americans plan to attend a Thanksgiving gathering with 10 or more people, one study finds. Here\\u2026 https://t.co/kPFcf4ZQwc\"","\"2020-11-19 14:32:56.854629\"",2020-11-19T15:42:23.248+05:30,"",Positive
non giuliani trumplawyers admit trump claims election fraud bullshit trumpcollapse trumploser,"\"Non-#Giuliani #Trumplawyers  Admit Trump\\u2019s Claims of Election Fraud Are #Bullshit #TrumpCollapse #trumploser\\u2026 https://t.co/CNuqjj3hNy\"","\"2020-11-19 14:32:59.857847\"",2020-11-19T15:42:23.248+05:30,"",Negative
risk starting shit show editorial illustration class,"\"At the risk of starting a shit show, here's and editorial illustration I did for a class I'm in\\u2026 https://t.co/Tsd7Y7jxvJ\"","\"2020-11-19 14:33:02.860653\"",2020-11-19T15:42:23.248+05:30,"",Negative
stream stop afazenda ufffc followtrick afazenda follotrick trumpvsbiden biden electionday,"\"stream I can\\u2019t stop me\\n#AFazenda12\\u00a0\\ufffc #followtrick #AFazenda #follotrick #TrumpvsBiden #Biden2020 #ElectionDay\\u2026 https://t.co/QoCp3Cx61B\"","\"2020-11-19 14:33:05.862821\"",2020-11-19T15:42:23.248+05:30,"",Negative
stream idea afazenda ufffc followtrick afazenda follotrick trumpvsbiden biden electionday blackpink nct,"\"stream idea\\n#AFazenda12\\u00a0\\ufffc #followtrick #AFazenda #follotrick #TrumpvsBiden #Biden2020 #ElectionDay #BLACKPINK\\n#NCT\\u2026 https://t.co/GPf5Jkp44c\"","\"2020-11-19 14:33:08.866711\"",2020-11-19T15:42:23.248+05:30,"",Positive
going eventually come truth won everyone vote vote trumpvsbiden,"\"It\\u2019s all going to eventually come out! The truth won\\u2019t be for everyone #Vote2020 #vote #TrumpvsBiden\\u2026 https://t.co/UJMurwEJDz\"","\"2020-11-19 14:33:11.870591\"",2020-11-19T15:42:23.248+05:30,"",Positive
hey heard campaign paying partial recount guess biden win onl,"\"Hey @realDonaldTrump I heard your campaign is only paying for a partial recount in WI. I guess the Biden win is onl\\u2026 https://t.co/F643xbwEVM\"","\"2020-11-19 14:33:15.579205\"",2020-11-19T15:42:23.248+05:30,"",Positive
tell read book fucking poor people remember ivanka saying wrote,"\"\\u201c\\u2018Ly, why would you tell me to read a book about fucking poor people?\\u2019 I remember Ivanka saying,\\u201d she wrote. \\u201c\\u2018What\\u2026 https://t.co/uOKDiQzxDI\"","\"2020-11-19 14:33:18.582773\"",2020-11-19T15:42:23.248+05:30,"",Negative
eleicoes biden trump trumpvsbiden,"\"this...\\n\\n@EleicoesEUA @realDonaldTrump @JoeBiden #Eleicoes2020 #Biden2020 #Trump2020 #TrumpvsBiden https://t.co/RLrBnQGFSJ\"","\"2020-11-19 14:33:21.586662\"",2020-11-19T15:42:23.248+05:30,"",Positive
joke nin wisconsin votes injected nummmmmm election wisconsin,"\"Is this a joke!? \\n\\nIn Wisconsin, 143,379 votes INJECTED at 3:42AM\\n\\nUmmmmmm\\n#Election2020 #Wisconsin\\u2026 https://t.co/1y6e8jwobJ\"","\"2020-11-19 14:33:24.590769\"",2020-11-19T15:42:23.248+05:30,"",Positive
cshe trump radar status money power dad instinct throw others bus save,"\"\\u201cShe had the Trump radar for status, money, and power, and her dad\\u2019s instinct to throw others under the bus to save\\u2026 https://t.co/unu3RjNgp0\"","\"2020-11-19 14:33:27.594766\"",2020-11-19T15:42:23.248+05:30,"",Positive
president trump allow biden security briefings hasn conceded yet vote,"\"Should President Trump allow Biden security briefings if he hasn't conceded yet? Vote Now Here:\\u2026 https://t.co/xH6uq5aDI5\"","\"2020-11-19 14:33:30.598778\"",2020-11-19T15:42:23.248+05:30,"",Positive
ivanka trump shared father craving money praise apparent disdain poor people,"\"Ivanka Trump shared her father\\u2019s craving for money and praise \\u2013 and his apparent disdain for poor people \\u2013 from a y\\u2026 https://t.co/OLUA6vAQEt\"","\"2020-11-19 14:33:33.602860\"",2020-11-19T15:42:23.248+05:30,"",Negative
president daughter asked tell read book poor people trump ivankatrump biden usa trumpvsbiden,"\"President\\u2019s daughter asked her \\u2018why would you tell me to read a book about poor people?\\u2019\\n\\n#Trump #IvankaTrump #Biden2020 #USA #TrumpvsBiden\"","\"2020-11-19 14:33:36.606701\"",2020-11-19T15:42:23.248+05:30,"",Negative
worth reading obama gsa administrator denise turner gives view presidential transition nvia,"\"Worth reading : Obama's GSA administrator, Denise Turner, gives her view about the Presidential transition. \\nVia\\u2026 https://t.co/p6HCp3mlym\"","\"2020-11-19 14:33:39.610674\"",2020-11-19T15:42:23.248+05:30,"",Positive
china knows handle pandemic china covid usa trump stockmarket pfizer vaccine,"\"Only China knows to handle this pandemic! #China #COVID19 #usa #Trump2020 #stockmarket #Pfizer #vaccine @JoeBiden\\u2026 https://t.co/i3m7jUnhH3\"","\"2020-11-19 14:33:42.614713\"",2020-11-19T15:42:23.248+05:30,"",Positive
governor cuomo stupid motherfucker refusing distribution vaccine people,"\"Governor Cuomo of NY is a Stupid Motherfucker! He is Refusing Distribution of the CV Vaccine for the People of NY,\\u2026 https://t.co/nlYzfjkCDX\"","\"2020-11-19 14:33:45.618607\"",2020-11-19T15:42:23.248+05:30,"",Negative
ivanka trump obsessed status says former friend tell essay trump ivankatrump biden usa trumpvsbiden,"\"Ivanka Trump obsessed with status, says former friend in tell-all essay\\n\\n#Trump #IvankaTrump #Biden2020 #USA #TrumpvsBiden\"","\"2020-11-19 14:33:48.622344\"",2020-11-19T15:42:23.248+05:30,"",Positive
race whitehouse trumped contest end njoe tryin get job done nthe playing,"\"The race for the #WhiteHouse, \\na trumped contest to the end.\\nJoe's tryin' to get the job done; \\nthe other's playing\\u2026 https://t.co/u87HXxzskK\"","\"2020-11-19 14:33:51.625424\"",2020-11-19T15:42:23.248+05:30,"",Positive
biden harris ruin america election results biden stopthesteai trumpvsbiden bidencrimefamilly,"\"BIDEN AND HARRIS WILL RUIN AMERICA\\nhttps://t.co/yAsZumROfa #Election2020results #Biden2020  #StopTheSteaI #TrumpvsBiden #BidenCrimeFamilly\"","\"2020-11-19 14:33:54.626571\"",2020-11-19T15:42:23.248+05:30,"",Negative
put trump supporter camera usually hang pretty fast trumpmeltdown,"\"If you put a #trump supporter on camera, they'll usually hang themselves on their own pretty fast #TrumpMeltdown\\u2026 https://t.co/wtnfyA1FNs\"","\"2020-11-19 14:34:13.318360\"",2020-11-19T15:42:23.248+05:30,"",Positive
msm chero bird saves fish drowning ude nhorrible beautiful udd trumpvsbiden allegory slowmo,"\"MSM: \\u201cHero Bird Saves Fish From Drowning\\u201d \\ud83d\\ude31\\n\\nHorrible... but beautiful? \\ud83e\\udd14\\n\\nOr a #TrumpVsBiden allegory?\\n\\n#slowmo\\u2026 https://t.co/ughi8i0Gyk\"","\"2020-11-19 14:34:16.322201\"",2020-11-19T15:42:23.248+05:30,"",Positive
want people happy nfull video say trump,"\"\\\"I just want people to be happy!\\\" @nasirsvision\\nFull Video:https://t.co/1FKIjkIPXg What would you say to a Trump su\\u2026 https://t.co/fBojQNwUHV\"","\"2020-11-19 14:34:19.322734\"",2020-11-19T15:42:23.248+05:30,"",Positive
presidential election vote candidate party loyalty individual,"\"During the 2020 Presidential election, did you vote for the candidate by party loyalty or for the individual?\\u2026 https://t.co/6qmC3wGP51\"","\"2020-11-19 14:34:22.326352\"",2020-11-19T15:42:23.248+05:30,"",Positive
